SMITH	1	2442977	1	2376206
JOHNSON	2	1932812	2	1857160
WILLIAMS	3	1625252	3	1534042
BROWN	4	1437026	4	1380145
JONES	5	1425470	5	1362755
GARCIA	6	1166120	8	858289
MILLER	7	1161437	6	1127803
DAVIS	8	1116357	7	1072335
RODRIGUEZ	9	1094924	9	804240
MARTINEZ	10	1060159	11	775072
HERNANDEZ	11	1043281	15	706372
LOPEZ	12	874523	21	621536
GONZALEZ	13	841025	23	597718
WILSON	14	801882	10	783051
ANDERSON	15	784404	12	762394
THOMAS	16	756142	14	710696
TAYLOR	17	751209	13	720370
MOORE	18	724374	16	698671
JACKSON	19	708099	18	666125
MARTIN	20	702625	17	672711
LEE	21	693023	22	605860
PEREZ	22	681645	29	488521
THOMPSON	23	664644	19	644368
WHITE	24	660491	20	639515
HARRIS	25	624252	24	593542
SANCHEZ	26	612752	33	441242
CLARK	27	562679	25	548369
RAMIREZ	28	557423	42	388987
LEWIS	29	531781	26	509930
ROBINSON	30	529821	27	503028
WALKER	31	523129	28	501307
YOUNG	32	484447	31	465948
ALLEN	33	482607	32	463368
KING	34	465422	35	438986
WRIGHT	35	458980	34	440367
SCOTT	36	439530	36	420091
TORRES	37	437813	50	325169
NGUYEN	38	437645	57	310125
HILL	39	434827	41	411770
FLORES	40	433969	55	312615
GREEN	41	430182	37	413477
ADAMS	42	427865	39	413086
NELSON	43	424958	40	412236
BAKER	44	419586	38	413351
HALL	45	407076	30	473568
RIVERA	46	391114	59	299463
CAMPBELL	47	386157	43	371953
MITCHELL	48	384486	44	367433
CARTER	49	376966	46	362548
ROBERTS	50	376774	45	366215
GOMEZ	51	365655	68	263590
PHILLIPS	52	360802	47	351848
EVANS	53	355593	48	342237
TURNER	54	348627	49	335663
DIAZ	55	347636	73	251772
PARKER	56	336221	51	324246
CRUZ	57	334201	82	231065
EDWARDS	58	332423	53	317070
COLLINS	59	329770	52	317848
REYES	60	327904	81	232511
STEWART	61	324957	54	312899
MORRIS	62	318884	56	311754
MORALES	63	311777	90	217642
MURPHY	64	308417	58	300501
COOK	65	302589	60	294795
ROGERS	66	302261	61	294403
GUTIERREZ	67	293218	96	212905
ORTIZ	68	286899	94	214683
MORGAN	69	286280	62	276400
COOPER	70	280791	64	270097
PETERSON	71	278297	63	275041
BAILEY	72	277845	66	265916
REED	73	277030	65	267443
KELLY	74	267394	69	260385
HOWARD	75	264826	70	254779
RAMOS	76	263464	112	193096
KIM	77	262352	109	194067
COX	78	261231	72	253771
WARD	79	260464	71	254121
RICHARDSON	80	259798	74	249533
WATSON	81	252579	76	242432
BROOKS	82	251663	77	240751
CHAVEZ	83	250898	118	185865
WOOD	84	250715	75	247299
JAMES	85	249379	80	233224
BENNETT	86	247599	78	239055
GRAY	87	246116	79	236713
MENDOZA	88	242771	134	168567
RUIZ	89	238234	129	175429
HUGHES	90	236271	83	229390
PRICE	91	235251	84	228756
ALVAREZ	92	233983	132	168817
CASTILLO	93	230420	135	165473
SANDERS	94	230374	88	220902
PATEL	95	229973	172	145066
MYERS	96	229895	85	224824
LONG	97	229374	86	223494
ROSS	98	229368	89	219961
FOSTER	99	227764	87	221040
JIMENEZ	100	227118	147	157475
POWELL	101	224874	91	216553
JENKINS	102	222653	95	213737
PERRY	103	221741	97	212644
RUSSELL	104	221558	93	215432
SULLIVAN	105	220990	92	215640
BELL	106	220599	67	264752
COLEMAN	107	219070	102	208624
BUTLER	108	218847	98	210879
HENDERSON	109	218393	101	210094
BARNES	110	218241	99	210426
GONZALES	111	214758	110	193934
FISHER	112	214703	100	210279
VASQUEZ	113	212781	143	159989
SIMMONS	114	210182	103	201650
ROMERO	115	208614	154	153772
JORDAN	116	208403	105	197212
PATTERSON	117	205423	104	198557
ALEXANDER	118	204621	111	193443
HAMILTON	119	201746	107	194331
GRAHAM	120	201159	108	194074
REYNOLDS	121	200247	106	195598
GRIFFIN	122	198406	114	190636
WALLACE	123	197276	113	190760
MORENO	124	196925	170	146088
WEST	125	195818	115	188464
COLE	126	195289	116	187793
HAYES	127	194246	117	187473
BRYANT	128	192773	120	183761
HERRERA	129	192711	175	140786
GIBSON	130	190667	119	184420
ELLIS	131	188968	121	181934
TRAN	132	188498	188	136095
MEDINA	133	188497	176	139353
AGUILAR	134	186512	213	126399
STEVENS	135	185674	122	181417
MURRAY	136	184910	123	178414
FORD	137	184832	124	178397
CASTRO	138	184134	194	133254
MARSHALL	139	183922	125	177213
OWENS	140	182719	126	176334
HARRISON	141	181091	128	175577
FERNANDEZ	142	180842	178	139302
MCDONALD	143	180497	127	176094
WOODS	144	177425	133	168814
WASHINGTON	145	177386	138	163036
KENNEDY	146	176865	130	171636
WELLS	147	176230	131	170635
VARGAS	148	173835	221	123952
HENRY	149	170964	142	161392
CHEN	150	169580	260	105544
FREEMAN	151	169149	140	162686
WEBB	152	168878	137	163481
TUCKER	153	167446	139	162933
GUZMAN	154	167044	230	118390
BURNS	155	165925	141	162153
CRAWFORD	156	164457	146	158121
OLSON	157	164035	136	163502
SIMPSON	158	163181	145	158241
PORTER	159	163054	148	156848
HUNTER	160	162440	153	154410
GORDON	161	161833	151	154934
MENDEZ	162	161717	242	112736
SILVA	163	161633	214	126164
SHAW	164	160400	150	155172
SNYDER	165	160262	144	159363
MASON	166	160213	149	155484
DIXON	167	159480	156	152015
MUNOZ	168	158483	232	117774
HUNT	169	158421	157	151986
HICKS	170	158320	155	153618
HOLMES	171	156780	161	150166
PALMER	172	156601	158	150407
WAGNER	173	155795	152	154516
BLACK	174	154738	160	150186
ROBERTSON	175	153666	159	150299
BOYD	176	153469	164	149476
ROSE	177	153397	168	146924
STONE	178	153329	162	149802
SALAZAR	179	152703	240	113468
FOX	180	152334	167	147357
WARREN	181	152147	166	147906
MILLS	182	151942	165	147909
MEYER	183	150895	163	149664
RICE	184	149500	169	146440
SCHMIDT	185	147034	171	145565
GARZA	186	147005	220	124130
DANIELS	187	146570	180	138776
FERGUSON	188	146426	173	142256
NICHOLS	189	145584	174	141936
STEPHENS	190	144646	181	138742
SOTO	191	144451	257	106631
WEAVER	192	143837	179	138811
RYAN	193	143452	177	139335
GARDNER	194	142894	182	138660
PAYNE	195	142601	183	138028
GRANT	196	142277	192	134034
DUNN	197	141427	185	136955
KELLEY	198	140693	184	137555
SPENCER	199	139951	189	134443
HAWKINS	200	139751	191	134066
ARNOLD	201	138893	187	136315
PIERCE	202	138629	186	136517
VAZQUEZ	203	138322	328	84926
HANSEN	204	137977	193	133474
PETERS	205	137513	190	134231
SANTOS	206	137232	279	98993
HART	207	137184	196	132466
BRADLEY	208	136720	200	131289
KNIGHT	209	136713	199	131860
ELLIOTT	210	135765	197	132457
CUNNINGHAM	211	135718	198	131896
DUNCAN	212	135187	203	130419
ARMSTRONG	213	135044	204	129982
HUDSON	214	134963	202	130793
CARROLL	215	134317	201	131020
LANE	216	134227	209	128727
RILEY	217	133872	210	127960
ANDREWS	218	133799	206	129320
ALVARADO	219	133501	294	93723
RAY	220	133171	208	128794
DELGADO	221	132985	282	98675
BERRY	222	132812	205	129405
PERKINS	223	131440	212	126951
HOFFMAN	224	131401	195	132645
JOHNSTON	225	131373	207	128935
MATTHEWS	226	131303	217	124839
PENA	227	130776	284	98345
RICHARDS	228	130529	215	125653
CONTRERAS	229	130164	299	92660
WILLIS	230	130152	216	125627
CARPENTER	231	129898	211	127073
LAWRENCE	232	129699	219	124321
SANDOVAL	233	128948	287	96303
GUERRERO	234	128677	291	94152
GEORGE	235	128625	227	119778
CHAPMAN	236	127939	218	124614
RIOS	237	127794	285	96569
ESTRADA	238	127470	298	92831
ORTEGA	239	127256	296	93131
WATKINS	240	127083	222	122447
GREENE	241	126101	228	119604
NUNEZ	242	125350	306	90208
WHEELER	243	125058	223	121684
VALDEZ	244	124995	283	98610
HARPER	245	124461	226	119868
BURKE	246	122877	229	119175
LARSON	247	122587	224	121064
SANTIAGO	248	122212	302	90967
MALDONADO	249	121526	316	88016
MORRISON	250	121130	231	117939
FRANKLIN	251	120621	236	114859
CARLSON	252	120552	225	120124
AUSTIN	253	119706	241	113160
DOMINGUEZ	254	119304	334	83731
CARR	255	119076	239	113892
LAWSON	256	119053	235	115186
JACOBS	257	118614	233	115540
OBRIEN	258	118557	234	115385
LYNCH	259	117708	237	114448
SINGH	260	116749	396	72642
VEGA	261	116673	318	87728
BISHOP	262	116618	238	114034
MONTGOMERY	263	115953	246	112144
OLIVER	264	115900	248	111641
JENSEN	265	115679	244	112332
HARVEY	266	115662	247	112136
WILLIAMSON	267	114959	245	112216
GILBERT	268	114940	243	112406
DEAN	269	114030	250	109230
SIMS	270	113374	254	107244
ESPINOZA	271	112154	360	79322
HOWELL	272	112041	249	109634
LI	273	111786	519	57786
WONG	274	111371	277	99392
REID	275	111360	263	104007
HANSON	276	111144	251	109079
LE	277	110967	368	77453
MCCOY	278	110744	258	106481
GARRETT	279	110697	253	107777
BURTON	280	110529	255	107158
FULLER	281	110116	256	106682
WANG	282	109883	438	67570
WEBER	283	109433	252	107866
WELCH	284	108987	259	105804
ROJAS	285	108421	393	73071
LUCAS	286	107690	275	100417
MARQUEZ	287	107533	357	79951
FIELDS	288	107522	264	103242
PARK	289	106696	343	81890
YANG	290	106033	397	72627
LITTLE	291	105936	266	102718
BANKS	292	105833	278	99294
PADILLA	293	105365	345	81805
DAY	294	105091	271	101676
WALSH	295	105079	265	103216
BOWMAN	296	105007	268	102239
SCHULTZ	297	104888	261	104962
LUNA	298	104518	378	76127
FOWLER	299	104515	267	102620
MEJIA	300	104057	448	66534
DAVIDSON	301	103930	269	102044
ACOSTA	302	103418	377	76477
BREWER	303	103318	274	100465
MAY	304	103306	270	101726
HOLLAND	305	102538	276	99885
JUAREZ	306	101949	429	68785
NEWMAN	307	101931	273	100491
PEARSON	308	101836	281	98728
CURTIS	309	101801	280	98958
CORTEZ	310	101694	367	77492
DOUGLAS	311	101458	286	96425
SCHNEIDER	312	101290	272	100553
JOSEPH	313	100959	356	80030
BARRETT	314	100104	288	95896
NAVARRO	315	99807	388	73970
FIGUEROA	316	98468	398	72533
KELLER	317	98268	290	94300
AVILA	318	97314	421	69843
WADE	319	97040	297	92834
MOLINA	320	96979	417	70211
STANLEY	321	96867	292	93817
HOPKINS	322	96810	289	94603
CAMPOS	323	96111	420	69950
BARNETT	324	95681	300	92287
BATES	325	95622	293	93743
CHAMBERS	326	94988	305	90325
CALDWELL	327	93944	301	91338
BECK	328	93786	295	93161
LAMBERT	329	93678	303	90618
MIRANDA	330	93628	437	67646
BYRD	331	92904	311	88811
CRAIG	332	92507	307	89591
AYALA	333	92463	449	66515
LOWE	334	92260	309	89178
FRAZIER	335	92152	314	88325
POWERS	336	91970	304	90401
NEAL	337	91694	333	83849
LEONARD	338	91475	308	89198
GREGORY	339	91384	312	88810
CARRILLO	340	91129	443	67054
SUTTON	341	90964	319	87373
FLEMING	342	90677	317	87949
RHODES	343	90670	310	88917
SHELTON	344	90517	313	88326
SCHWARTZ	345	90071	330	84699
NORRIS	346	89796	326	85212
JENNINGS	347	89700	321	87038
WATTS	348	89649	324	86228
DURAN	349	89401	434	68046
WALTERS	350	89376	262	104281
COHEN	351	89091	320	87226
MCDANIEL	352	88728	323	86317
MORAN	353	88615	362	78546
PARKS	354	88586	322	86346
STEELE	355	88230	331	84353
VAUGHN	356	88060	327	85037
BECKER	357	87859	315	88114
HOLT	358	87531	329	84710
DELEON	359	87414	460	65598
BARKER	360	87162	325	85221
TERRY	361	87000	336	83437
HALE	362	86618	338	82955
LEON	363	86363	483	62034
HAIL	364	86240	10323	2860
BENSON	365	86081	332	84233
HAYNES	366	85974	341	82037
HORTON	367	85195	335	83523
MILES	368	84942	342	81933
LYONS	369	84516	339	82258
PHAM	370	84320	498	59949
GRAVES	371	84179	340	82179
BUSH	372	84018	346	81524
THORNTON	373	83967	347	81191
WOLFE	374	83928	337	83112
WARNER	375	83781	344	81824
CABRERA	376	83621	524	57171
MCKINNEY	377	83616	353	80616
MANN	378	83510	349	81022
ZIMMERMAN	379	83265	350	80944
DAWSON	380	83182	355	80190
LARA	381	83067	501	59731
FLETCHER	382	83063	352	80932
PAGE	383	82992	354	80493
MCCARTHY	384	82950	348	81035
LOVE	385	82873	363	78323
ROBLES	386	82458	489	61619
CERVANTES	387	82161	520	57685
SOLIS	388	82146	497	60045
ERICKSON	389	82085	351	80936
REEVES	390	81978	358	79817
CHANG	391	81939	424	69756
KLEIN	392	81471	359	79685
SALINAS	393	81156	490	61582
FUENTES	394	81006	530	56441
BALDWIN	395	80742	361	79151
DANIEL	396	80526	380	75135
SIMON	397	80460	383	74839
VELASQUEZ	398	80364	525	57163
HARDY	399	80252	374	76608
HIGGINS	400	79803	365	78107
AGUIRRE	401	79517	508	58918
LIN	402	79508	624	49360
CUMMINGS	403	79316	372	76707
CHANDLER	404	79186	379	76114
SHARP	405	78990	371	76868
BARBER	406	78848	376	76504
BOWEN	407	78822	370	77078
OCHOA	408	78677	523	57210
DENNIS	409	78482	384	74784
ROBBINS	410	78381	364	78141
LIU	411	78370	650	47665
RAMSEY	412	78350	373	76625
FRANCIS	413	78327	406	71723
GRIFFITH	414	78260	369	77429
PAUL	415	78256	401	72248
BLAIR	416	78026	380	75135
OCONNOR	417	77923	385	74756
CARDENAS	418	77652	529	56618
PACHECO	419	77642	512	58534
CROSS	420	77557	382	75134
CALDERON	421	77085	550	54691
QUINN	422	76986	386	74531
MOSS	423	76908	389	73750
SWANSON	424	76897	375	76539
CHAN	425	76664	459	65719
RIVAS	426	76205	553	54588
KHAN	427	76171	665	46713
RODGERS	428	76095	394	73021
SERRANO	429	75996	545	55057
FITZGERALD	430	75356	390	73522
